,birth,death,race_eth,education,institution
Ira Wolfert,1908, 1997, American, Bachelor's Degree, Columbia University
Mazo De la Roche,1879, 1961, Canadian, Bachelor's Degree, University of Toronto
Fred Gipson,1908, 1973, American, Bachelor's Degree, University of Texas at Austin
Lajos Zilaby,1884, 1946, Hungarian, None, None
R.C. Hutchinson,1945, N/A, None, Bachelor's Degree, University of Washington
James A. Michener,1907, 1997, American, Bachelor's Degree, University of Texas at Austin
Anne Goodwin Winslow,1922, 2016, American, Bachelor's Degree, Smith College
Legette Blythe,1905, 1972, African American, Bachelor's Degree, Hampton University
Frances Gaither,1923, 2007, African American, Bachelor's Degree, University of Pennsylvania
Hope Muntz,1910, 1986, British, Bachelor's Degree, University of London
Alfred Hayes,1911, 1985, American, Bachelor's Degree, University of California
H.H. Lynde,1850, 1935, American, None, None
Tom Lea,1907, 2001, American, Bachelor's Degree, University of Texas at Austin
Joyce Cary,1888, 1957, British, Bachelor's Degree, Oxford University
Philip Wylie,1902, 1971, American, Bachelor's Degree, Harvard University
Edward Streeter,1883, 1976, American, Bachelor's Degree, Harvard University
Harriette Simpson Arnow,1907, 1986, White, Bachelor's Degree, University of Kentucky
Walter Van Tilburg Clark,1909, 1971, American, Bachelor's Degree, University of Nevada
Ivy Compton-Burnett,1884, 1969, British, Bachelor's Degree, University College London
Robert Standish,1916, 2003, None, None, None
Theodore Bonnet,None, None, None, None, None
Mika Waltari,1908, 1979, Finnish, None, None
John Brooks,None, None, American, None, None
Nelson Algren,1909, 1981, American, Bachelor's Degree, University of Illinois at Urbana-Champaign
George Howe,1908, 1960, American, Bachelor's Degree, University of Pennsylvania
Paul Gallico,1897, 1976, American, None, None
Raymond Chandler,1888, 1959, Caucasian, None, None
"A.B. Guthrie, Jr",1901, 1991, American, Bachelor's Degree, University of Montana
Henry Green,1905, 1972, British, None, None
Edison Marshall,1894, 1967, American, Bachelor's Degree, University of Washington
Alberto Moravia,1907, 1990, Italian, None, None
John Sedges,None, None, None, None, None
Mary Lasswell,1908, 1994, White, Bachelor's Degree, University of California
Dorothy Clarke Wilson,1893, 1995, African American, Bachelor's Degree, University of Michigan
Paul Bowles,1910, 1999, American, Bachelor's Degree, University of Virginia
Samuel Shellabarger,1888, 1978, American, Bachelor's Degree, University of Florida
Marghanita Laski,1915, 1988, British, Bachelor's Degree, London University
Frederick Buechner,1926, N/A, Caucasian, Bachelor's Degree, Princeton University
Cleveland Amory,1912, 1998, White, Bachelor's Degree, Harvard University
Morton Thompson,1906, 1992, American, Bachelor's Degree, University of California
Ned Calmer,1912, 1998, White, Bachelor's Degree, University of Wisconsin-Madison
Henry Morton Robinson,1898, 1976, American, Bachelor's Degree, Harvard University
Margaret Kennedy,1896, 1967, British, None, None
Ernest Gebler,1918, 1998, Irish, None, None
Jay Walz,None, N/A, None, None, None
Ruth Chatterton,1892, 1961, Caucasian, None, None
Livingston Biddle,1926, 2008, Caucasian, Bachelor's Degree, Harvard University
Conrad Richter,1890, 1968, American, Bachelor's Degree, Penn State University
Helen Huntington Howe,1871, 1947, American, Bachelor's Degree, Smith College
Samuel Hopkins Adams,1871, 1958, American, Bachelor's Degree, Union College
Louise A. Stinetorf,None, None, None, None, None
Aubrey Menen,1912, 1979, Irish, None, None
Giovanni Guareschi,1908, 1968, Italian, None, None
Hanama Tasaki,None, None, Japanese, None, None
Arthur Gordon,1922, 2002, American, Bachelor's Degree, University of Pennsylvania
Louis Falstein,1906, 1995, Caucasian, Bachelor's Degree, New York University
Tennessee Williams,1911, 1983, American, Bachelor's Degree, University of Missouri
Frank Tilsley,1893, 1971, British, None, None
Susan Yorke,None, None, None, None, None
Harnett T. Kane,1894, 1970, None, Bachelor's Degree, University of Washington
Pierre La Mure,1903, 1976, French, None, None
James Norman Hall,1887, 1951, American, Bachelor's Degree, University of Iowa
Shirley Barker,None, None, White, None, None
William E. Barrett,1917, 1992, American, Bachelor's Degree, University of California
John Masters,1914, 1983, British, None, None
Jean-Paul Sartre,1905, 1980, French, Master's Degree, École Normale Supérieure
James Jones,1921, 1977, American, Bachelor's Degree, University of Wisconsin-Madison
Reginald Arkell,1882, 1959, British, None, None
Fritz Peters,1900, 1975, American, Bachelor's Degree, Harvard University
Walter Karig,1902, 1996, White, Bachelor's Degree, University of California
J.B. Priestley,1894, 1984, English, Bachelor's Degree, University of Bradford
Eric Ambler,1909, 1998, English, None, None
Walter O'Meara,None, None, None, None, None
Walter Macken,1915, 1967, Irish, Bachelor's Degree, University College Dublin
Anita Loos,1888, 1981, American, Bachelor's Degree, University of California
Francis Cardinal Spellman,1889, 1967, None, Doctor of Sacred Theology, Pontifical Gregorian University
Stephen Longstreet,1907, 2002, Jewish, Bachelor's Degree, University of California
Lillian Budd,None, None, None, None, None
David Garth,None, None, White, Bachelor's Degree, None
James Street,1900, 1983, American, Bachelor's Degree, University of Texas at Austin
J.D. Salinger,1919, 2010, American, Bachelor’s Degree, Columbia University
Carlo Levi,1902, 1975, Italian, Doctoral Degree, University of Turin
John Meade Falkner,1858, 1932, British, None, None
William Styron,1925, 2006, American, Bachelor's Degree, Duke University
Amanda Mae Ellis,1985, N/A, None, Bachelor's Degree, University of Florida
Margaret Campbell Barnes,1891, 1960, British, None, None
John Marquand,1893, 1960, American, Bachelor's Degree, Harvard University
Berry Fleming,1905, 1971, American, Bachelor's Degree, University of Georgia
Eleanor Palffy,None, None, None, None, None
Joseph Henry Jackson,1902, 1971, African American, Bachelor's Degree, University of California
Par Lagerkvist,1891, 1974, Swedish, Bachelor's Degree, Uppsala University
Harold Lenoir Davis,1914, 1993, African American, Bachelor's Degree, North Carolina Central University
Jean Stafford,1915, 1979, American, Bachelor's Degree, University of Colorado
Louis Auchincloss,1917, 2010, American, None, None
Carl Jonas,1793, 1860, Swedish, None, None
Francis Van Wyck Mason,1906, 1978, American, Bachelor's Degree, Harvard University
Daphne Rooke,1925, 2018, South African, Bachelor's Degree, University of Cape Town
Ernestine Gilbreth Carey,1885, 1972, American, Bachelor's Degree, Simmons College
Louis Kronenberger,1904, 1980, American, PhD, University of Michigan
Paul Hyde Bonner,1864, 1936, American, None, None
Mary McCarthy,1912, 1989, American, Bachelor's Degree, Vassar College
Ira Morris,None, None, None, None, None
Walter Baxter,1915, 1990, White, Bachelor's Degree, University of New Hampshire
Ralph Ellison,1914, 1994, African American, Bachelor's Degree, Oklahoma Baptist University
Edith Simon,1915, 2010, Jewish, PhD, University of New Mexico
Cecil St. Laurent,1944, N/A, Afro-Caribbean, Bachelor's Degree, University of the West Indies
Charles Mills,1951, N/A, African American, Ph.D., University of Maryland
Hall Hunter,None, N/A, None, None, None
Barnaby Conrad,1924, 2013, American, Bachelor's Degree, Stanford University
Win Brooks,None, None, None, None, None
Pamela Hansford Johnson,1912, 1981, British, Master's Degree, University College London
Lael Tucker,1924, 2003, White, Bachelor's Degree, University of Florida
Robert Reynolds,None, None, None, None, None
Giovannino Guareschi,1908, 1968, Italian, None, None
Frank O'Conner,1903, 1966, Irish, None, None
Jan de Hartog,1914, 2002, Dutch, None, None
Pearl Schiff,1900, 1990, Jewish, Bachelor's Degree, Hunter College
Angus Wilson,1913, 1991, British, Bachelor's Degree, University of Cambridge
H.F.M. Prescott,1896, 1978, British, Bachelor's Degree, University of Oxford
Mickey Spillane,1918, 2006, American, None, None
E.B. White,1899, 1985, American, Bachelor's Degree, Cornell University
Madison Cooper,1910, 1980, African American, Bachelor's Degree, City College of New York
May Sarton,1912, 1995, Caucasian, Bachelor's Degree, Radcliffe College
William Donohue Ellis,1951, N/A, American, Bachelor's Degree, Loyola University Maryland
Robert Carson,None, None, None, None, None
Cameron Hawley,1910, 2002, American, Bachelor's Degree, University of Washington
Annemarie Selinko,1914, 1999, Austrian, None, None
John Phillips,1835, 1874, American, None, None
Pamela Frankau,1911, 1978, British, None, None
Theodore Morrison,1863, 1950, None, Graduate Degree, Harvard University
Ovid Williams Pierce,1871, 1948, African American, None, None
Jay Richard Kennedy,1934, 2017, American, Bachelor's Degree, None
Storm Jameson,1891, 1986, British, Bachelor's Degree, University of Leeds
Richard A. Wright,1908, 1960, African American, Bachelor's Degree, Chicago School of Social Service Administration
Ilona Karmel,1923, 2000, Polish-American, Master's Degree, University of Chicago
Warren Eyster,1951, N/A, Caucasian, Bachelor's Degree, None
Oakley Hall,1920, 2008, American, Bachelor's Degree, University of California
Don Tracy,1902, 1991, American, Bachelor's Degree, University of Chicago
Nikos Kazantzakis,1883, 1957, Greek, Doctorate, University of Paris
Ernest K. Gann,1910, 1991, Caucasian, Bachelor's Degree, University of Southern California
Leon Uris,1924, 2003, Jewish, Bachelor's Degree, Columbia University
F.W. Kenyon,1864, 1942, None, Bachelor's Degree, Harvard University
Rita Vercors,None, None, None, None, None
Bertrand Russell,1872, 1970, British, Doctorate, University of Cambridge
Martin Dibner,None, None, None, None, None
Seymour Shubin,1919, 2006, American, Bachelor's Degree, University of Pennsylvania
Saul Bellow,1915, 2005, Jewish, Master's Degree, Northwestern University
Paul Wellman,1895, 1966, American, Bachelor's Degree, University of Kansas
Charles Bracelen Flood,1924, 2019, American, Bachelor's Degree, University of Virginia
Andre Soubiran,1944, N/A, French, None, None
Phyllis Gordon Demarest,1883, 1953, None, Bachelor's Degree, University of Wisconsin-Madison
Charles Wertenbaker,None, N/A, White, PhD, Harvard University
Davis Grubb,1910, 1980, Caucasian, Bachelor's Degree, West Virginia University
Kenneth Dodson,None, None, None, None, None
Joseph Hayes,1923, 2006, White, Bachelor's Degree, University of Kentucky
Lucy Herndon Crockett,1881, 1970, American, Bachelor's Degree, University of Virginia
Harriette Arnow,1908, 1986, American, Bachelor's Degree, University of Kentucky
Randall Jarrell,1914, 1965, American, Bachelor's Degree, Vanderbilt University
William March,1893, 1954, American, Bachelor's Degree, University of California
Peter De Vries,1910, 1993, White, Bachelor's Degree, Calvin University
Christopher Isherwood,1904, 1986, English, Bachelor's Degree, Pembroke College
Robert Tallant,1909, 1980, None, Bachelor's Degree, Louisiana State University
Igor Gouzenko,1919, 1982, Russian, None, None
Edwin Lanham,1915, 1999, American, Bachelor's Degree, University of Iowa
L.P. Hartley,1895, 1972, English, Bachelor's Degree, University of Cambridge
Frans G. Bengtsson,1894, 1954, Swedish, None, None
Richard Haydn,1905, 1985, White, None, None
Dawn Powell,1896, 1965, American, Bachelor's Degree, Mount Holyoke College
Ernest Kellogg Gann,1910, 1991, American, Bachelor's Degree, University of Washington
Mac Hyman,1912, 1979, American, Bachelor's Degree, University of Florida
Hamilton Basso,1904, 1978, American, Bachelor's Degree, Harvard University
Frances Gray Patton,1882, 1934, American, Bachelor's Degree, Smith College
Frederick Manfred,1912, 1994, White, Bachelor's Degree, University of Minnesota
Marguerite Yourcenar,1903, 1987, Belgian, Doctorate, New York University
Alan Lemay,1904, 1977, American, None, None
Don M. Mankiewicz,1922, 2015, American, Bachelor's Degree, University of California
David Beaty,None, None, None, None, None
Patrick Dennis,1926, 1976, Caucasian, Bachelor's Degree, Columbia University
John Phillips Marquand,1893, 1960, American, Bachelor's Degree, Harvard University
Laurens Van Der Post,1906, 1996, Dutch, Doctorate, University of Cape Town
Francoise Sagan,1935, 2004, French, None, None
Edward L. Beach,1918, 2006, American, Bachelor's Degree, United States Naval Academy
Nancy Hallinan,1941, N/A, White, Bachelor's Degree, University of Illinois at Urbana-Champaign
Robert Ruark,1915, 1965, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Alice Walworth Graham,1870, 1931, American, Bachelor's Degree, Smith College
Gretchen Finletter,1921, 2006, None, Bachelor's Degree, University of Pennsylvania
Elizabeth Gray Vining,1902, 1997, White, Bachelor's Degree, Swarthmore College
Kamala Markandaya,1924, 2004, Indian, Bachelor's Degree, University of Madras
Dylan Thomas,1914, 1953, Welsh, N/A, N/A
Joseph Viertel,None, None, None, None, None
Sloan Wilson,1920, 2003, American, Bachelor's Degree, Harvard University
Lionel Shapiro,1905, 1981, Jewish, Bachelor's Degree, New York University
Patrick White,1912, 1990, Australian, Bachelor's Degree, University of Sydney
Al Morgan,None, None, None, None, None
P.H. Newby,1910, 1997, British, Bachelor's Degree, University of London
Thyra Ferre Bjorn,1890, 1974, None, Bachelor's Degree, University of Utah
Anthony West,1880, 1940, British, None, None
Nigel Dennis,1912, 1997, Welsh, Bachelor's Degree, University College London
Katherine Wigmore Eyre,1864, 1942, American, Bachelor's Degree, Vassar College
Alistair MacLean,1922, 1987, Scottish, None, None
Joy Packer,1923, 2003, White, None, None
David Garnett,1892, 1981, English, Bachelor's Degree, New College
Edwin Gilbert,None, None, None, None, None
Edwin O'Connor,1918, 2000, Irish American, Bachelor's Degree, Boston College
Mario Soldati,1906, 1999, Italian, None, None
Harold Sinclair,1898, 1974, American, Bachelor's Degree, University of Minnesota
A.M. Maughan,None, N/A, None, None, None
Viña Delmar,1903, 1999, Latina, Bachelor's Degree, University of Iowa
Santha Rama Rau,1916, 2009, Indian, Bachelor's Degree, Wellesley College
Willi Heinrich,1920, 2005, German, None, None
Simone de Beauvoir,1908, 1986, French, Master's Degree, Sorbonne University
Eugene Burdick,1918, 2001, American, Bachelor's Degree, University of California
William Brinkley,1918, 1993, American, Bachelor's Degree, University of North Carolina at Chapel Hill
B.J. Chute,1910, 2002, None, Bachelor's Degree, Smith College
Jon Godden,1917, 2018, British, None, None
Honor Tracy,1915, 1990, Canadian, Bachelor's Degree, University of Alberta
Helen Ashton,1881, 1969, British, None, None
Anonymous aka Gladys Huntington,None, 1936, American, None, None
McCready Huston,1878, 1938, American, Bachelor's Degree, University of Kansas
Virginia Rowans,None, None, None, None, None
Grace Metalious,1924, 1964, American, Bachelor's Degree, None
Yukio Mishima,1925, 1970, Japanese, None, None
Charles E. Mercer,1958, N/A, None, None, None
Meyer Levin,1905, 1971, Jewish, Bachelor's Degree, University of Chicago
F Van Wyck Mason,1901, 1978, American, Bachelor's Degree, Harvard University
Hammond Innes,1913, 1998, British, None, None
Margaret Echard,None, None, None, None, None
Mary Renault,1905, 1983, White, None, None
Richard Powell,1908, 2003, African American, None, None
Frank Norris,1870, 1902, American, None, None
Elizabeth Spencer,1921, 2019, Caucasian, Bachelor's Degree, University of Mississippi
Ernest Gann,1910, 1991, Caucasian, Bachelor's Degree, University of Southern California
Gerald Green,1922, 2002, American, Bachelor's Degree, University of Pennsylvania
Sybille Bedford,1911, 2006, German, None, None
Weldon Hill,1941, N/A, African American, PhD, University of Chicago
John Cheever,1912, 1982, American, Bachelor's Degree, Harvard University
Richard Bissell,1913, 1977, American, Bachelor's Degree, University of Iowa
Tom Chamales,1927, 2016, American, Bachelor's Degree, University of Detroit
Kyle Onstott,1925, 1995, Caucasian, Bachelor's Degree, University of California
Rose Macaulay,1881, 1958, British, None, None
Alan Ross,1936, 2001, British, None, None
C.Y. Lee,1918, 2018, Chinese, Bachelor's Degree, National Taiwan University
Howard Swiggett,1902, 1971, American, Bachelor's Degree, University of Chicago
Marjorie Housepian,1928, N/A, Armenian-American, Bachelor's Degree, Barnard College
Richard Mason,1972, N/A, South African, Bachelor's Degree, University of Cape Town
Max Schulman,1914, 2003, American, Bachelor's Degree, University of Wisconsin-Madison
Libbie Block,1888, 1956, Jewish, Bachelor's Degree, University of California
Andrew Lytle,1902, 1995, American, Bachelor's Degree, Vanderbilt University
Myron S. Kaufmann,1922, 2019, Jewish, Bachelor's Degree, City College of New York
Leonard Drohan,None, None, None, None, None
Jack Kerouac,1922, 1969, American, Bachelor's Degree, Columbia University
John McPartland,1911, 1994, Irish-American, Bachelor's Degree, University of Notre Dame
Lawrence Durrell,1912, 1990, British, None, None
Elva Williams,None, None, None, None, None
Vladimir Dudintsev,1914, 1998, Russian, PhD, None
Otis Carney,1924, 2019, African American, Bachelor's Degree, San Francisco State University
John Braine,1932, 1986, British, Bachelor's Degree, University of Leeds
Ernie Kovacs,1919, 1962, Caucasian, None, None
Marc Rivette,None, None, French, None, None
James Agee,1909, 1955, American, Bachelor's Degree, Harvard University
Robert Traver,1904, 1991, American, Bachelor's Degree, University of Michigan
Stringfellow Barr,1887, 1985, White, Doctorate, University of Pennsylvania
Romain Gary,1914, 1980, French, None, None
William Humphrey,1924, 1997, American, Bachelor's Degree, University of Washington
Glendon Swarthout,1918, 1992, American, Bachelor's Degree, University of Michigan
Dennis Murphy,None, None, None, None, None
Robert Lewis Taylor,1912, 1998, American, Bachelor's Degree, University of Wisconsin-Madison
H.L. Humes,1910, 1992, American, Bachelor's Degree, University of Southern California
Theodore H. White,1915, 2002, American, Bachelor's Degree, Harvard University
Elick Moll,1971, N/A, Caucasian, Bachelor's Degree, University of California
Evan Hunter,1926, 2005, American, Bachelor's Degree, New York University
John Selby,None, N/A, None, None, None
Jerome Weidman,1913, 2002, Jewish, Bachelor's Degree, City College of New York
Bernard Dryer,None, None, None, None, None
Alice Ekert-Rotholz,1920, 2014, Polish-Jewish, PhD, University of Paris
J.P. Donleavy,1926, 2017, Irish, Bachelor's Degree, Trinity College Dublin
Elaine Dundy,1921, 2008, American, None, None
Vladimir Nabokov,1899, 1977, Russian-American, Ph.D., University of Cambridge
Rona Jaffe,1931, 2005, American, Bachelor's Degree, Barnard College
Charles Mergendahl,None, None, None, None, None
Boris Pasternak,1890, 1960, Russian, None, None
Sergeanne Golon,1925, N/A, French, None, None
Roger Vailland,1910, 1965, French, None, None
Sterling Quinlan,None, None, None, None, None
Han Suyin,1917, 2012, Chinese, Doctorate, University of Peking
Robin White,1946, N/A, New Zealand European, Master's Degree, Victoria University of Wellington
John Updike,1932, 2009, Caucasian, Bachelor's Degree, Harvard University
Evan Connell,1924, 2013, American, Bachelor's Degree, University of California
Samuel H. Adams,1891, 1973, White, Bachelor's Degree, University of New Hampshire
Edmund Schiddel,None, None, None, None, None
Mary Stewart,1916, 2014, British, Bachelor's Degree, University of London
Hugh MacLennan,1907, 1990, Canadian, Bachelor's Degree, McGill University
"""Miss Read""",1917, 2017, British, Bachelor's Degree, University of Oxford
Sylvia Ashton-Warner,1908, 2004, New Zealand European, Bachelor's Degree, University of Otago
Friedrich Duerrenmatt,1921, 1990, Swiss, N/A, N/A
D.H. Lawrence,1885, 1930, English, None, None
Alexander Cordell,1914, 1997, White, None, None
Niven Busch,1894, 1971, American, Bachelor's Degree, University of California
Max Wylie,1913, 2002, White, Bachelor's Degree, University of Southern California
Noel Clad,None, N/A, None, None, None
Alexis Curvers,1891, 1970, French, None, None
Joseph Kessel,1898, 1979, French, None, None
Robert P. Kirsch,1917, 2003, American, Bachelor's Degree, University of Southern California
Richard Condon,1915, 1996, American, None, None
Allen Drury,1918, 1998, American, Bachelor's Degree, Stanford University
Eugene Vale,None, None, None, None, None
Morris L. West,1916, 1999, Australian, Bachelor's Degree, University of Melbourne
Maria Dermout,1888, 1962, Dutch, None, None
Yael Dayan,1939, N/A, Israeli, Bachelor's Degree, Hebrew University of Jerusalem
Leo Rosten,1908, 1997, Jewish, Doctorate, University of Chicago
William Kelley,1934, N/A, American, Bachelor's Degree, Harvard University
William Pearson,1944, N/A, African American, Bachelor's Degree, University of the District of Columbia
John Leggett,1938, 2018, White, PhD, University of Iowa
Charles Mercer,None, None, None, None, None
Roald Dahl,1916, 1990, Norwegian-British, None, N/A
Geoffrey Jenkins,1923, 2001, South African, None, None
John Knowles,1926, 2001, American, Bachelor's Degree, Harvard University
Frances Malm,None, None, None, None, None
Paul Horgan,1903, 1995, American, Bachelor's Degree, University of New Mexico
Guiseppe di Lampedusa,1896, 1957, Italian, None, None
C.P. Snow,1905, 1980, English, Bachelor's Degree, University of Cambridge
Agnar Mykle,1915, 1994, Norwegian, N/A, N/A
Irving Wallace,1916, 1990, Jewish, Bachelor's Degree, University of Southern California
Richard Frede,None, None, None, None, None
Peter Gilman,1932, N/A, None, None, None
Geoffrey Household,1900, 1988, White, Bachelor's Degree, Oxford University
Harper Lee,1926, 2016, American, Bachelor's Degree, Huntingdon College
James Leo Herlihy,1926, 1993, Irish-American, Bachelor's Degree, University of Notre Dame
Victoria Holt,1906, 1991, British, None, None
Andre Schwarz-Bart,1928, 2002, Jewish, None, N/A
Noel Coward,1899, 1973, English, N/A, None
Alexander Fedoroff,None, None, None, None, None
Elizabeth Taylor,1932, 2011, White, None, None
A.A. Milnei,1882, 1956, British, None, None
Jere Peacock,1959, N/A, None, Bachelor's Degree, University of Nebraska at Omaha
Jun'ichiro Tanizaki,1886, 1965, Japanese, N/A, N/A
William Maxwell,1908, 2000, N/A, Bachelor's Degree, University of Illinois at Urbana–Champaign
Tristram Coffin,1915, 2014, American, Bachelor's Degree, University of Vermont
Sheila Burnford,1918, 2014, Canadian, Bachelor's Degree, University of Toronto
Charles E. Israel,1920, 1975, None, Bachelor's Degree, University of Chicago
Vita Sackville-West,1892, 1962, English, None, None
Wallace Stegner,1909, 1993, American, Master's Degree, University of Utah
Henry Miller,1891, 1980, American, None, None
Sara Kasdan,None, N/A, None, None, None
Nathaniel Benchley,1915, 1993, American, Bachelor's Degree, Harvard University
Gwyn Griffin,1938, 2021, White, Bachelor's Degree, University of North Carolina at Chapel Hill
Carson McCullers,1917, 1967, American, Bachelor's Degree, Columbia University
J.R. Salamanca,None, None, None, None, None
Marquis William Childs,1904, 1980, African American, Bachelor's Degree, Harvard University
Bernard Malamud,1914, 1986, Jewish-American, Master's Degree, Columbia University
Ann Hellesbusch Hebson,None, None, None, None, None
Leo Calvin Rosten,1908, 1997, Jewish, Doctorate, University of Chicago
Al Dewlen,1946, N/A, None, None, None
Anthony Powell,1905, 2000, English, Bachelor's Degree, Oxford University
Richard Hughes,1900, 1976, British, None, None
Andrew Tully,1908, 1966, None, Bachelor's Degree, University of Illinois
Katherine Anne Porter,1890, 1980, American, Bachelor's Degree, Columbia University
Reynolds Price,1933, 2011, American, Bachelor's Degree, Duke University
Philip Roth,1933, 2018, American, Doctorate, University of Chicago
James Baldwin,1924, 1987, African American, Bachelor's Degree, Columbia University
Bart Spicer,1929, 1990, American, None, None
Niccolo Tucci,1913, 2004, Italian, None, None
James Clavell,1924, 1994, Scottish, None, None
Ian Stuart,1956, N/A, White/British, None, None
Jorge Amado,1912, 2001, Brazilian, Bachelor's Degree, University of São Paulo
Shirley Jackson,1916, 1965, American, Bachelor's Degree, Syracuse University
Robert Gover,1932, N/A, American, Bachelor's Degree, University of Arizona
Rosalind Erskine,1990, N/A, British, Bachelor's Degree, University of Edinburgh
James E. Bassett,1903, 1992, White, Bachelor's Degree, University of Wisconsin-Madison
Richard McKenna,1913, 1964, American, Bachelor's Degree, University of Idaho
Jetta Carleton,1913, 1999, American, Bachelor's Degree, University of Chicago
Robert St. John,1919, 2014, American, Bachelor's Degree, University of Kansas
Gunter Grass,1927, 2015, German, None, None
Mark Rascovich,1928, 1993, None, Bachelor's Degree, University of California
Robert H.K. Walter,None, None, None, None, None
John Rechy,1934, N/A, Hispanic, Bachelor's Degree, University of Texas at El Paso
Hal Borland,1900, 1978, American, Bachelor's Degree, University of Nebraska
Nora Lofts,1904, 1983, British, None, None
James Michener,1907, 1997, American, Bachelor's Degree, University of Texas at Austin
John Fowles,1926, 2005, English, Master's Degree, University of Oxford
Ian Fleming,1908, 1964, British, None, None
Jean Genet,1910, 1986, French, None, None
John le Carré,1931, 2020, British, Bachelor's Degree, University of Bern
David Westheimer,1924, 2019, American, Bachelor's Degree, University of Houston
Richard E. Kim,1932, 2009, Korean, Master's Degree, University of Hawaii
Peter DeVries,1910, 1993, White, Bachelor's Degree, Calvin University
Hans Kirst,1914, 1998, German, None, None
William Golding,1911, 1993, English, Bachelor's Degree, Brasenose College
Bruce Jay Friedman,1930, 2022, American, Bachelor's Degree, University of Pennsylvania
Paul Molloy,None, N/A, None, None, None
John Gunther,1901, 1970, White, Bachelor's Degree, University of Chicago
Len Deighton,1929, N/A, British, None, None
Stephen Becker,1923, 2006, American, Bachelor's Degree, University of Pennsylvania
K.B. Gilden,1940, N/A, White, Bachelor's Degree, Oglethorpe University
Arthur Hailey,1927, 2004, Canadian, Bachelor's Degree, University of Toronto
Bel Kaufman,1911, 2019, Jewish, Doctorate, Columbia University
Morris West,1916, 1999, Australian, Bachelor's Degree, University of Melbourne
Fletcher Knebel,1911, 1993, American, Bachelor's Degree, University of Wisconsin-Madison
Robin Moore,1931, 2008, Caucasian, Bachelor's Degree, University of California
John Le Carré,1931, 2020, British, Degree in Modern Languages, University of Bern
Noah Gordon,1926, 2021, Jewish, Bachelor's Degree, Harvard University
Shelley Mydans,1909, 1990, American, Bachelor's Degree, University of Utah
John Moore,None, None, White, None, None
Jacqueline Susann,1918, 1974, American, Bachelor's Degree, Temple University
Adela Rogers St. Johns,1894, 1988, White, Bachelor's Degree, None
Phyllis Whitney,1903, 2008, White, Bachelor's Degree, Vassar College
Roderick Thorp,1936, 1999, American, None, None
Noel Behn,1928, 2019, American, Bachelor's Degree, University of California
Harry Kemelman,1910, 1994, Jewish, Bachelor's Degree, Boston University
John Barth,1930, N/A, American, Bachelor's Degree, John's Hopkins University
Robert Crichton,1930, 2008, Caucasian, Bachelor's Degree, Stanford University
Harry Mark Petrakis,1923, N/A, Greek American, Bachelor's Degree, University of Chicago
Elia Kazan,1909, 2003, Greek-American, Bachelor's Degree, Williams College
Herbert Gold,1924, N/A, American, Bachelor's Degree, University of California
Ira Levin,1929, 2007, American, Bachelor's Degree, Drake University
Chaim Potok,1929, 2002, Jewish, Master's Degree, University of Pennsylvania
Sarah Gainham,1929, N/A, British, Bachelor's Degree, University of London
Catherine Marshall,1914, 1983, Caucasian, Bachelor's Degree, King's College
Robert J. Serling,1924, 2014, None, Bachelor's Degree, University of Southern California
Henry Sutton,1856, 1912, English, None, None
John Kenneth Galbraith,1908, 2006, Canadian, Ph.D., University of California
Richard Bradford,1932, 2018, White, Master's Degree, University of Miami
Herbert Tarr,1927, N/A, American, Bachelor's Degree, City College of New York
Charles Portis,1933, N/A, American, Bachelor's Degree, University of Arkansas
Drew Pearson,1887, 1969, Caucasian, Bachelor's Degree, George Washington University
Alexander Solzhenitsyn,1918, 2008, Russian, None, None
Dorothy Eden,1912, 1982, New Zealand, None, None
Mario Puzo,1920, 1999, Italian American, Bachelor's Degree, City College of New York
Kurt Vonnegut,1922, 2007, American, Master's Degree, University of Chicago
Michael Crichton,1942, 2008, Caucasian, Doctor of Medicine, Harvard Medical School
Ross MacDonald,1915, 1983, White, Bachelor's Degree, University of California
Gladys Rockmore Davis,1901, 1990, Caucasian, Bachelor's Degree, University of California
Eugenia Price,1916, 1997, American, Bachelor's Degree, University of Florida
Penelope Ashe,None, None, None, None, None
Jimmy Breslin,1928, 2017, Irish-American, None, None
Erich Segal,1937, 2010, Jewish, Ph.D., Harvard University
Elie Wiesel,1928, 2016, Jewish, Bachelor's Degree, Sorbonne University
James Dickey,1923, 1997, White, Bachelor's Degree, Vanderbilt University
Gabriel Garcia Marquez,1927, 2014, Colombian, Bachelor's Degree, National University of Colombia
Eudura Welty,1909, 2001, Caucasian, Bachelor's Degree, University of Wisconsin-Madison
Gordon Merrick,1916, 2000, American, Bachelor's Degree, Columbia University
John Weitz,1918, 2002, German-American, Bachelor's Degree, City College of New York
Lois Gould,1933, 2002, American, Master's Degree, Columbia University
Christy Brown,1932, 1981, Irish, None, None
Joan Didion,1934, N/A, American, Bachelor's Degree, University of California
R.F. Delderfield,1912, 1972, British, None, None
R.V. Cassill,1919, 2002, American, Bachelor's Degree, University of Iowa
Joseph Wambaugh,1937, N/A, American, Bachelor's Degree, Los Angeles State College
Ross Macdonald,1915, 1983, Caucasian, Bachelor's Degree, University of Southern California
Robertson Davies,1913, 1995, Canadian, Bachelor's Degree, Queen's University
Herman Raucher,1928, N/A, American, Bachelor's Degree, Boston University
Sylvia Plath,1932, 1963, White, Master's Degree, Smith College
Oliver Lange,None, None, None, None, None
