,author,birth,death,race_eth,education,institution,birthplace,temp,country,state,city,_merge,prestigious,prestige
359,Christine Weston,1980,N/A,White,Undergrad ,University of Massachusetts Amherst,,,,,,both,False,Other
360,Christopher La Farge,1977,N/A,American,Undergrad ,Harvard University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
361,Russell Janney,1894,1952,White,None,None,"Indianapolis, IN, USA","['Indianapolis', ' IN', ' USA']",USA,IN,Indianapolis,both,False,Other
362,William Lindsay Gresham,1909,1962,American,None,None,"Baltimore, MD, USA","['Baltimore', ' MD', ' USA']",USA,MD,Baltimore,both,False,Other
363,Pat Frank,1909,1964,White,Undergrad ,University of Florida,"Harrisburg, PA, USA","['Harrisburg', ' PA', ' USA']",USA,PA,Harrisburg,both,False,Other
364,C.S. Forester,1899,1966,British,None,None,"Cairo, Egypt","['Cairo', ' Egypt']",Egypt,,Cairo,both,False,Other
365,Frank Slaughter,1908,2001,American,Undergrad ,University of Florida,"Salisbury, MD, USA","['Salisbury', ' MD', ' USA']",USA,MD,Salisbury,both,False,Other
366,Terence Hanbury White,1912,1964,British,Undergrad ,St John's College,"Bombay, India","['Bombay', ' India']",India,,Bombay,both,False,Other
367,Arthur Koestler,1905,1983,Hungarian-Jewish,Graduate,University of Vienna,"Budapest, Hungary","['Budapest', ' Hungary']",Hungary,,Budapest,both,False,Other
368,Jan Westcott,1898,1976,American,Undergrad ,University of Wisconsin-Madison,,,,,,both,False,Other
369,Inglis Fletcher,1887,1969,Caucasian,None,None,"Graham, NC, USA","['Graham', ' NC', ' USA']",USA,NC,Graham,both,False,Other
370,Harnett Thomas Kane,1882,1956,American,Undergrad ,University of Pennsylvania,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,True,Top School
371,Eric Hodgins,1906,1971,White,Undergrad ,Harvard University,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,True,Top School
372,Pierre Andrezel,,None,None,None,None,,,,,,both,False,Other
373,William Wister Haines,1900,1978,White,Undergrad ,University of Pennsylvania,"Bala Cynwyd, PA, USA","['Bala Cynwyd', ' PA', ' USA']",USA,PA,Bala Cynwyd,both,True,Top School
374,Norman Collins,1900,1985,American,None,None,,,,,,both,False,Other
375,Herbert Krause,1893,1970,American,Undergrad ,University of Minnesota,"Fargo, ND, USA","['Fargo', ' ND', ' USA']",USA,ND,Fargo,both,False,Other
376,Marjorie Carleton,1940,N/A,None,Undergrad ,University of California,,,,,,both,False,Other
377,James Cain,1892,1977,American,Undergrad ,University of California,"Perry County, Kentucky, USA","['Perry County', ' Kentucky', ' USA']",USA,KY,Perry County,both,False,Other
378,Paul I. Wellman,1895,1975,White,Undergrad ,University of Nebraska,"Culver City, CA, USA","['Culver City', ' CA', ' USA']",USA,CA,Culver City,both,False,Other
379,Bernard Augustine De Voto,1897,1955,Caucasian,Graduate,Harvard University,"Salt Lake City, UT, USA","['Salt Lake City', ' UT', ' USA']",USA,UT,Salt Lake City,both,True,Top School
380,Nancy Wilson Ross,1910,2002,American,Undergrad ,University of Washington,"Seattle, WA, USA","['Seattle', ' WA', ' USA']",USA,WA,Seattle,both,False,Other
381,Mildred Walker,1905,1998,American,Graduate,University of Montana,"Montpelier, ID, USA","['Montpelier', ' ID', ' USA']",USA,ID,Montpelier,both,False,Other
382,Laura Z. Hobson,1900,1986,American,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
383,Malcolm Lowry,1909,1957,White,Undergrad ,University of British Columbia,"New Brighton, Merseyside, England","['New Brighton', ' Merseyside', ' England']",England,,New Brighton,both,False,Other
384,Maurice Samuel,1895,1972,Jewish,N/A,N/A,"Bessarabia, Romania","['Bessarabia', ' Romania']",Romania,,Bessarabia,both,False,Other
385,Harold Lamb,1892,1962,Caucasian,None,None,"Alton, IL, USA","['Alton', ' IL', ' USA']",USA,IL,Alton,both,False,Other
386,Feike Feikema,1952,N/A,Dutch,None,None,,,,,,both,False,Other
387,Edward F. Murphy,1940,N/A,Irish American,Undergrad ,Boston College,,,,,,both,False,Other
388,Ludwig Lewisohn,1882,1955,Jewish,Graduate,Columbia University,"Hamburg, Germany","['Hamburg', ' Germany']",Germany,,Hamburg,both,True,Top School
389,Herman Wouk,1915,2019,American,Undergrad ,Columbia University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
390,A.B. Guthrie Jr,1901,1991,American,Undergrad ,University of Montana,"Dixon, MT, USA","['Dixon', ' MT', ' USA']",USA,MT,Dixon,both,False,Other
391,Gabrielle Roy,1903,1983,Canadian,Undergrad ,Université de Montréal,"Saint Boniface, Manitoba, Canada","['Saint Boniface', ' Manitoba', ' Canada']",Canada,,Saint Boniface,both,False,Other
392,Willard Motley,1911,1993,African American,Undergrad ,University of Illinois,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
393,Stuart David Engstrand,1935,N/A,White,Undergrad ,University of California,,,,,,both,False,Other
394,Idwal Jones,1895,1965,Welsh,Undergrad ,University of Wales,"Aberdare, Wales, UK","['Aberdare', ' Wales', ' UK']",United Kingdom,,Aberdare,both,False,Other
395,Harry Sylvester,1926,1996,None,Undergrad ,University of Minnesota,,,,,,both,False,Other
396,Natalie Anderson Scott,1892,1980,American,Graduate,University of North Carolina at Chapel Hill,"Savannah, GA, USA","['Savannah', ' GA', ' USA']",USA,GA,Savannah,both,False,Top School
397,Arthemise Goertz,1985,N/A,White,Undergrad ,University of Wisconsin-Madison,,,,,,both,False,Other
398,Samuel Shellanbarger,,None,None,None,None,,,,,,both,False,Other
399,John Horne Burns,1916,1953,White,Undergrad ,Harvard University,"Boston, MA, USA","['Boston', ' MA', ' USA']",USA,MA,Boston,both,True,Top School
400,Emily Eden,1797,1869,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
401,W Somerset Maughan,1874,1965,British,None,None,"James A. Maughan, Somerset, England","['James A. Maughan', ' Somerset', ' England']",England,,James A. Maughan,both,False,Other
402,Jean Paul Sartre,1905,1980,French,Graduate,École normale supérieure,"Paris, Île-de-France, France","['Paris', ' Île-de-France', ' France']",France,,Paris,both,False,Other
403,David Davidson,1940,N/A,None,None,None,,,,,,both,False,Other
404,Ludwig Bemelmans,1898,1962,Austrian,None,None,"Merano, South Tyrol, Italy","['Merano', ' South Tyrol', ' Italy']",Italy,,Merano,both,False,Other
405,Virginia Eggertsen Sorensen,1906,1991,Caucasian,Undergrad ,University of Utah,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
406,Monica Dickens,1915,1992,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
407,Norah Lofts,1895,1983,British,N/A,None,"Norwich, Norfolk, England","['Norwich', ' Norfolk', ' England']",England,,Norwich,both,False,Other
408,Richard Sherman,1988,N/A,African American,Undergrad ,Stanford University,"Compton, CA, USA","['Compton', ' CA', ' USA']",USA,CA,Compton,both,False,Top School
409,Gerald Warner Brace,1901,1978,American,None,None,"Binghamton, NY, USA","['Binghamton', ' NY', ' USA']",USA,NY,Binghamton,both,False,Other
410,Peter Bourne,1939,N/A,American,Graduate,Tulane University,,,,,,both,False,Other
411,Thomas W. Duncan,,None,None,None,None,"Caroline County, Virginia, USA","['Caroline County', ' Virginia', ' USA']",USA,VA,Caroline County,both,False,Other
412,Mabel Seeley,1903,1991,American,Undergrad ,University of Washington,"Minneapolis, MN, USA","['Minneapolis', ' MN', ' USA']",USA,MN,Minneapolis,both,False,Other
413,Robert C. Ruark,1915,1965,American,None,None,"Savannah, GA, USA","['Savannah', ' GA', ' USA']",USA,GA,Savannah,both,False,Other
414,Scott O'Dell,1898,1989,White,Undergrad ,University of California,"Los Angeles, CA, USA","['Los Angeles', ' CA', ' USA']",USA,CA,Los Angeles,both,False,Other
415,Rubylea Hall,1925,N/A,African American,Undergrad ,None,"Lake Village, AR, USA","['Lake Village', ' AR', ' USA']",USA,AR,Lake Village,both,False,Other
416,Agnes Sligh Turnbull,1888,1982,American,Undergrad ,University of Pennsylvania,"Tionesta, PA, USA","['Tionesta', ' PA', ' USA']",USA,PA,Tionesta,both,True,Top School
417,Frank G. Slaughter,1890,2001,American,N/A,None,"Jamaica, Queens, NY, USA","['Jamaica', ' Queens', ' NY', ' USA']",USA,NY,Jamaica,both,False,Other
418,Neil H. Swanson,1925,2008,Caucasian,Undergrad ,University of Washington,"Bainbridge, OH, USA","['Bainbridge', ' OH', ' USA']",USA,OH,Bainbridge,both,False,Other
419,Kathryn Forbes,1908,1966,Norwegian-American,Undergrad ,University of Washington,"San Francisco, CA, USA","['San Francisco', ' CA', ' USA']",USA,CA,San Francisco,both,False,Other
420,Guy McCrone,1894,1969,Scottish,Undergrad ,University of Edinburgh,"Wellington, New Zealand","['Wellington', ' New Zealand']",New Zealand,,Wellington,both,False,Other
421,Howard Breslin,1908,1983,None,Undergrad ,Columbia University,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,True,Top School
422,H.E. Bates,1905,1974,British,None,None,"Rushden, Northamptonshire, England","['Rushden', ' Northamptonshire', ' England']",England,,Rushden,both,False,Other
423,Ross Lockridge,1914,1948,White,Undergrad ,Indiana University,"Bloomington, IN, USA","['Bloomington', ' IN', ' USA']",USA,IN,Bloomington,both,False,Other
424,Mary Roberts Rinehart.,1876,1958,White,Undergrad ,Allegheny College,"Allegheny City, PA, USA","['Allegheny City', ' PA', ' USA']",USA,PA,Allegheny City,both,False,Other
425,Norman Katkov,1928,2002,American,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
426,Gore Vidal,1925,2012,American,Undergrad ,T.C. Williams School of Law,"West Point, NY, USA","['West Point', ' NY', ' USA']",USA,NY,West Point,both,False,Other
427,Merle Miller,1919,1986,American,Undergrad ,University of Kansas,"Kansas City, MO, USA","['Kansas City', ' MO', ' USA']",USA,MO,Kansas City,both,False,Other
428,Truman Capote,1924,1984,Caucasian,None,None,"New Orleans, LA, USA","['New Orleans', ' LA', ' USA']",USA,LA,New Orleans,both,False,Other
429,Angela Mackail Thirkell,1890,1961,British,None,None,"London, England","['London', ' England']",England,,London,both,False,Other
430,Agnes Newton Keith,1890,1972,American,Undergrad ,University of Washington,"Victoria, British Columbia, Canada","['Victoria', ' British Columbia', ' Canada']",Canada,,Victoria,both,False,Other
431,Alan Paton,1903,1988,White South African,Undergrad ,University of Natal,"Nursing, KwaZulu-Natal, South Africa","['Nursing', ' KwaZulu-Natal', ' South Africa']",South Africa,,Nursing,both,False,Other
432,Dalton S. Reymond,1922,1994,American,Undergrad ,University of Virginia,,,,,,both,False,Other
433,Ralph Ingersoll,1896,1985,American,None,None,"North Adams, MA, USA","['North Adams', ' MA', ' USA']",USA,MA,North Adams,both,False,Other
434,Martin Boyd,1918,1972,Australian,Undergrad ,University of Melbourne,"Melbourne, Victoria, Australia","['Melbourne', ' Victoria', ' Australia']",Australia,,Melbourne,both,False,Other
435,Joseph George Hitrec,1895,1970,Croatian,Undergrad ,University of Zagreb,,,,,,both,False,Other
436,Hiram Haydn,1887,1973,White,Undergrad ,Harvard University,"Scranton, PA, USA","['Scranton', ' PA', ' USA']",USA,PA,Scranton,both,True,Top School
437,Nelia Gardner White,1908,1970,White,Undergrad ,University of California,"Richmond, IN, USA","['Richmond', ' IN', ' USA']",USA,IN,Richmond,both,False,Other
438,George R. Stewart,1895,1980,American,Undergrad ,University of California,"Petersburg, VA, USA","['Petersburg', ' VA', ' USA']",USA,VA,Petersburg,both,False,Other
439,Harold Robbins,1916,1997,American,Undergrad ,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
440,Norman Mailer,1923,2007,American,Undergrad ,Harvard University,"Long Branch, NJ, USA","['Long Branch', ' NJ', ' USA']",USA,NJ,Long Branch,both,True,Top School
441,Zoe Oldenbourg,1903,1975,French,None,None,"Saint Petersburg, Russia","['Saint Petersburg', ' Russia']",Russia,,Saint Petersburg,both,False,Other
442,Baynard Kendrick,1906,1998,American,Undergrad ,Harvard University,"Portsmouth, VA, USA","['Portsmouth', ' VA', ' USA']",USA,VA,Portsmouth,both,True,Top School
443,Horace McCoy,1897,1955,American,Undergrad ,University of California,"Pegram, TN, USA","['Pegram', ' TN', ' USA']",USA,TN,Pegram,both,False,Other
444,A.J. Cronin,1896,1981,Scottish,Medical,University of Glasgow,"Cardross, Dunbartonshire, Scotland","['Cardross', ' Dunbartonshire', ' Scotland']",Scotland,,Cardross,both,False,Other
445,Ellin Berlin,1890,1979,Jewish,Undergrad ,University of Wisconsin-Madison,,,,,,both,False,Other
446,Hollister Noble,1971,N/A,White,Undergrad ,Brigham Young University,"Bradford, MA, USA","['Bradford', ' MA', ' USA']",USA,MA,Bradford,both,False,Other
447,Robert Van Gelder,,None,None,None,None,"Paterson, NJ, USA","['Paterson', ' NJ', ' USA']",USA,NJ,Paterson,both,False,Other
448,Albert Camus,1913,1960,Algerian,Graduate,University of Algiers,"Mondovi, Algeria","['Mondovi', ' Algeria']",Algeria,,Mondovi,both,False,Other
449,Agatha Young,,None,White,None,None,,,,,,both,False,Other
450,Irwin Shaw,1913,1984,Jewish,Undergrad ,Brooklyn College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
451,Carl Sandburg,1878,1967,Caucasian,Undergrad ,Lombard College,"Galesburg, IL, USA","['Galesburg', ' IL', ' USA']",USA,IL,Galesburg,both,False,Other
452,Lawrence Schoonover,1883,1972,American,Undergrad ,University of New Mexico,"Gilman City, MO, USA","['Gilman City', ' MO', ' USA']",USA,MO,Gilman City,both,False,Other
453,Inglis Clark Fletcher,1860,1948,White,Undergrad ,University of California,"Dover, DE, USA","['Dover', ' DE', ' USA']",USA,DE,Dover,both,False,Other
454,Dodie Smith,1896,1990,English,None,None,"Settle, Yorkshire, England","['Settle', ' Yorkshire', ' England']",England,,Settle,both,False,Other
455,Margaret Irwin,1887,1960,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
456,Ira Wolfert,1908,1997,American,Undergrad ,Columbia University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
457,Mazo De la Roche,1879,1961,Canadian,Undergrad ,University of Toronto,"Newmarket, Ontario, Canada","['Newmarket', ' Ontario', ' Canada']",Canada,,Newmarket,both,False,Other
458,Fred Gipson,1908,1973,American,Undergrad ,University of Texas at Austin,"Mason, TX, USA","['Mason', ' TX', ' USA']",USA,TX,Mason,both,False,Top School
459,Lajos Zilaby,1884,1946,Hungarian,None,None,,,,,,both,False,Other
460,R.C. Hutchinson,1945,N/A,None,Undergrad ,University of Washington,,,,,,both,False,Other
461,James A. Michener,1907,1997,American,Undergrad ,University of Texas at Austin,"Doylestown, PA, USA","['Doylestown', ' PA', ' USA']",USA,PA,Doylestown,both,False,Top School
462,Anne Goodwin Winslow,1922,2016,American,Undergrad ,Smith College,"New Castle, NH, USA","['New Castle', ' NH', ' USA']",USA,NH,New Castle,both,False,Other
463,Legette Blythe,1905,1972,African American,Undergrad ,Hampton University,"Bessemer City, NC, USA","['Bessemer City', ' NC', ' USA']",USA,NC,Bessemer City,both,False,Other
464,Frances Gaither,1923,2007,African American,Undergrad ,University of Pennsylvania,"Baltimore, MD, USA","['Baltimore', ' MD', ' USA']",USA,MD,Baltimore,both,True,Top School
465,Hope Muntz,1910,1986,British,Undergrad ,University of London,,,,,,both,False,Other
466,Alfred Hayes,1911,1985,American,Undergrad ,University of California,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
467,H.H. Lynde,1850,1935,American,None,None,"Smithfield, RI, USA","['Smithfield', ' RI', ' USA']",USA,RI,Smithfield,both,False,Other
468,Tom Lea,1907,2001,American,Undergrad ,University of Texas at Austin,"El Paso, TX, USA","['El Paso', ' TX', ' USA']",USA,TX,El Paso,both,False,Top School
469,Joyce Cary,1888,1957,British,Undergrad ,Oxford University,"Belfast, Northern Ireland","['Belfast', ' Northern Ireland']",Northern Ireland,,Belfast,both,False,Other
470,Philip Wylie,1902,1971,American,Undergrad ,Harvard University,"Boston, MA, USA","['Boston', ' MA', ' USA']",USA,MA,Boston,both,True,Top School
471,Edward Streeter,1883,1976,American,Undergrad ,Harvard University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
472,Harriette Simpson Arnow,1907,1986,White,Undergrad ,University of Kentucky,"Berea, KY, USA","['Berea', ' KY', ' USA']",USA,KY,Berea,both,False,Other
473,Walter Van Tilburg Clark,1909,1971,American,Undergrad ,University of Nevada,"Boulder City, NV, USA","['Boulder City', ' NV', ' USA']",USA,NV,Boulder City,both,False,Other
474,Ivy Compton-Burnett,1884,1969,British,Undergrad ,University College London,"Clapham, London, England","['Clapham', ' London', ' England']",England,,Clapham,both,False,Other
475,Robert Standish,1916,2003,None,None,None,"Llandudno, Wales, UK","['Llandudno', ' Wales', ' UK']",United Kingdom,,Llandudno,both,False,Other
476,Theodore Bonnet,,None,None,None,None,,,,,,both,False,Other
477,Mika Waltari,1908,1979,Finnish,None,None,"Helsinki, Uusimaa, Finland","['Helsinki', ' Uusimaa', ' Finland']",Finland,,Helsinki,both,False,Other
478,John Brooks,,None,American,None,None,"Wilmington, DE, USA","['Wilmington', ' DE', ' USA']",USA,DE,Wilmington,both,False,Other
479,Nelson Algren,1909,1981,American,Undergrad ,University of Illinois at Urbana-Champaign,"Detroit, MI, USA","['Detroit', ' MI', ' USA']",USA,MI,Detroit,both,False,Other
480,George Howe,1908,1960,American,Undergrad ,University of Pennsylvania,"Philadelphia, PA, USA","['Philadelphia', ' PA', ' USA']",USA,PA,Philadelphia,both,True,Top School
481,Paul Gallico,1897,1976,American,None,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
482,Raymond Chandler,1888,1959,Caucasian,None,None,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
483,"A.B. Guthrie, Jr",1901,1991,American,Undergrad ,University of Montana,"Mason City, IA, USA","['Mason City', ' IA', ' USA']",USA,IA,Mason City,both,False,Other
484,Henry Green,1905,1972,British,None,None,"Wolverhampton, Staffordshire, England","['Wolverhampton', ' Staffordshire', ' England']",England,,Wolverhampton,both,False,Other
485,Edison Marshall,1894,1967,American,Undergrad ,University of Washington,"Waldron, IN, USA","['Waldron', ' IN', ' USA']",USA,IN,Waldron,both,False,Other
486,Alberto Moravia,1907,1990,Italian,None,None,"Rome, Italy","['Rome', ' Italy']",Italy,,Rome,both,False,Other
487,John Sedges,,None,None,None,None,,,,,,both,False,Other
488,Mary Lasswell,1908,1994,White,Undergrad ,University of California,"San Diego, CA, USA","['San Diego', ' CA', ' USA']",USA,CA,San Diego,both,False,Other
489,Dorothy Clarke Wilson,1893,1995,African American,Undergrad ,University of Michigan,"Pana, IL, USA","['Pana', ' IL', ' USA']",USA,IL,Pana,both,False,Other
490,Paul Bowles,1910,1999,American,Undergrad ,University of Virginia,"Jenny Lind,  New York, USA","['Jenny Lind', '  New York', ' USA']",USA,NY,Jenny Lind,both,False,Other
491,Samuel Shellabarger,1888,1978,American,Undergrad ,University of Florida,"Wilmington, DE, USA","['Wilmington', ' DE', ' USA']",USA,DE,Wilmington,both,False,Other
492,Marghanita Laski,1915,1988,British,Undergrad ,London University,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
493,Frederick Buechner,1926,N/A,Caucasian,Undergrad ,Princeton University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
494,Cleveland Amory,1912,1998,White,Undergrad ,Harvard University,"Haverhill, MA, USA","['Haverhill', ' MA', ' USA']",USA,MA,Haverhill,both,True,Top School
495,Morton Thompson,1906,1992,American,Undergrad ,University of California,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,False,Other
496,Ned Calmer,1912,1998,White,Undergrad ,University of Wisconsin-Madison,"Pine Bluff, AR, USA","['Pine Bluff', ' AR', ' USA']",USA,AR,Pine Bluff,both,False,Other
497,Henry Morton Robinson,1898,1976,American,Undergrad ,Harvard University,"Worcester, MA, USA","['Worcester', ' MA', ' USA']",USA,MA,Worcester,both,True,Top School
498,Margaret Kennedy,1896,1967,British,None,None,"Bermondsey, London, England","['Bermondsey', ' London', ' England']",England,,Bermondsey,both,False,Other
499,Ernest Gebler,1918,1998,Irish,None,None,"Belfast, Northern Ireland, UK","['Belfast', ' Northern Ireland', ' UK']",United Kingdom,,Belfast,both,False,Other
500,Jay Walz,,N/A,None,None,None,,,,,,both,False,Other
501,Ruth Chatterton,1892,1961,Caucasian,None,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
502,Livingston Biddle,1926,2008,Caucasian,Undergrad ,Harvard University,"Philadelphia, PA, USA","['Philadelphia', ' PA', ' USA']",USA,PA,Philadelphia,both,True,Top School
503,Conrad Richter,1890,1968,American,Undergrad ,Penn State University,"Pine Grove, PA, USA","['Pine Grove', ' PA', ' USA']",USA,PA,Pine Grove,both,False,Other
504,Helen Huntington Howe,1871,1947,American,Undergrad ,Smith College,"Jamaica Plain, MA, USA","['Jamaica Plain', ' MA', ' USA']",USA,MA,Jamaica Plain,both,False,Other
505,Samuel Hopkins Adams,1871,1958,American,Undergrad ,Union College,"Shreveport, LA, USA","['Shreveport', ' LA', ' USA']",USA,LA,Shreveport,both,False,Other
506,Louise A. Stinetorf,,None,None,None,None,,,,,,both,False,Other
507,Aubrey Menen,1912,1979,Irish,None,None,"Dublin, Ireland","['Dublin', ' Ireland']",Ireland,,Dublin,both,False,Other
508,Giovanni Guareschi,1908,1968,Italian,None,None,"Fontanelle, Emilia-Romagna, Italy","['Fontanelle', ' Emilia-Romagna', ' Italy']",Italy,,Fontanelle,both,False,Other
509,Hanama Tasaki,,None,Japanese,None,None,,,,,,both,False,Other
510,Arthur Gordon,1922,2002,American,Undergrad ,University of Pennsylvania,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
511,Louis Falstein,1906,1995,Caucasian,Undergrad ,New York University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
512,Tennessee Williams,1911,1983,American,Undergrad ,University of Missouri,"Columbus, MS, USA","['Columbus', ' MS', ' USA']",USA,MS,Columbus,both,False,Other
513,Frank Tilsley,1893,1971,British,None,None,"Wolverhampton, England","['Wolverhampton', ' England']",England,,Wolverhampton,both,False,Other
514,Susan Yorke,,None,None,None,None,,,,,,both,False,Other
515,Harnett T. Kane,1894,1970,None,Undergrad ,University of Washington,"Florence, South Carolina, USA","['Florence', ' South Carolina', ' USA']",USA,SC,Florence,both,False,Other
516,Pierre La Mure,1903,1976,French,None,None,"Saint-Étienne, Loire, France","['Saint-Étienne', ' Loire', ' France']",France,,Saint-Étienne,both,False,Other
517,James Norman Hall,1887,1951,American,Undergrad ,University of Iowa,"Colfax, IA, USA","['Colfax', ' IA', ' USA']",USA,IA,Colfax,both,False,Other
518,Shirley Barker,,None,White,None,None,,,,,,both,False,Other
519,William E. Barrett,1917,1992,American,Undergrad ,University of California,"Laredo, TX, USA","['Laredo', ' TX', ' USA']",USA,TX,Laredo,both,False,Other
520,John Masters,1914,1983,British,None,None,"Moreton-in-Marsh, Gloucestershire, England","['Moreton-in-Marsh', ' Gloucestershire', ' England']",England,,Moreton-in-Marsh,both,False,Other
521,Jean-Paul Sartre,1905,1980,French,Graduate,École Normale Supérieure,"Paris, Île-de-France, France","['Paris', ' Île-de-France', ' France']",France,,Paris,both,False,Other
522,James Jones,1921,1977,American,Undergrad ,University of Wisconsin-Madison,"Robbins, IL, USA","['Robbins', ' IL', ' USA']",USA,IL,Robbins,both,False,Other
523,Reginald Arkell,1882,1959,British,None,None,"Boughton-under-Blean, Kent, England","['Boughton-under-Blean', ' Kent', ' England']",England,,Boughton-under-Blean,both,False,Other
524,Fritz Peters,1900,1975,American,Undergrad ,Harvard University,"San Francisco, CA, USA","['San Francisco', ' CA', ' USA']",USA,CA,San Francisco,both,True,Top School
525,Walter Karig,1902,1996,White,Undergrad ,University of California,,,,,,both,False,Other
526,J.B. Priestley,1894,1984,English,Undergrad ,University of Bradford,"Bradford, West Yorkshire, England","['Bradford', ' West Yorkshire', ' England']",England,,Bradford,both,False,Other
527,Eric Ambler,1909,1998,English,None,None,"Clapham, London, England","['Clapham', ' London', ' England']",England,,Clapham,both,False,Other
528,Walter O'Meara,,None,None,None,None,,,,,,both,False,Other
529,Walter Macken,1915,1967,Irish,Undergrad ,University College Dublin,"Gort, County Galway, Ireland","['Gort', ' County Galway', ' Ireland']",Ireland,,Gort,both,False,Other
530,Anita Loos,1888,1981,American,Undergrad ,University of California,"Santa Rosa, CA, USA","['Santa Rosa', ' CA', ' USA']",USA,CA,Santa Rosa,both,False,Other
531,Francis Cardinal Spellman,1889,1967,None,Graduate,Pontifical Gregorian University,"The Bronx, NY, USA","['The Bronx', ' NY', ' USA']",USA,NY,The Bronx,both,False,Other
532,Stephen Longstreet,1907,2002,Jewish,Undergrad ,University of California,"New Orleans, LA, USA","['New Orleans', ' LA', ' USA']",USA,LA,New Orleans,both,False,Other
533,Lillian Budd,,None,None,None,None,"Smyrna, DE, USA","['Smyrna', ' DE', ' USA']",USA,DE,Smyrna,both,False,Other
534,David Garth,,None,White,Undergrad ,None,,,,,,both,False,Other
535,James Street,1900,1983,American,Undergrad ,University of Texas at Austin,"Mason City, IA, USA","['Mason City', ' IA', ' USA']",USA,IA,Mason City,both,False,Top School
536,J.D. Salinger,1919,2010,American,Undergrad ,Columbia University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
537,Carlo Levi,1902,1975,Italian,Graduate,University of Turin,"Turin, Piedmont, Italy","['Turin', ' Piedmont', ' Italy']",Italy,,Turin,both,False,Other
538,John Meade Falkner,1858,1932,British,None,None,"Newcastle upon Tyne, England","['Newcastle upon Tyne', ' England']",England,,Newcastle upon Tyne,both,False,Other
539,William Styron,1925,2006,American,Undergrad ,Duke University,"Newport News, VA, USA","['Newport News', ' VA', ' USA']",USA,VA,Newport News,both,False,Top School
540,Amanda Mae Ellis,1985,N/A,None,Undergrad ,University of Florida,,,,,,both,False,Other
541,Margaret Campbell Barnes,1891,1960,British,None,None,"Lichfield, Staffordshire, England","['Lichfield', ' Staffordshire', ' England']",England,,Lichfield,both,False,Other
542,John Marquand,1893,1960,American,Undergrad ,Harvard University,"Saratoga Springs, NY, USA","['Saratoga Springs', ' NY', ' USA']",USA,NY,Saratoga Springs,both,True,Top School
543,Berry Fleming,1905,1971,American,Undergrad ,University of Georgia,"Augusta, GA, USA","['Augusta', ' GA', ' USA']",USA,GA,Augusta,both,False,Other
544,Eleanor Palffy,,None,None,None,None,,,,,,both,False,Other
545,Joseph Henry Jackson,1902,1971,African American,Undergrad ,University of California,"Alameda, CA, USA","['Alameda', ' CA', ' USA']",USA,CA,Alameda,both,False,Other
546,Par Lagerkvist,1891,1974,Swedish,Undergrad ,Uppsala University,"Växjö, Sweden","['Växjö', ' Sweden']",Sweden,,Växjö,both,False,Other
547,Harold Lenoir Davis,1914,1993,African American,Undergrad ,North Carolina Central University,"Winston-Salem, NC, USA","['Winston-Salem', ' NC', ' USA']",USA,NC,Winston-Salem,both,False,Other
